channel,tissue,status,timepoint,replicate,bias
b220,blood,gl261,7,1,0.35
b220,blood,gl261,7,2,0.35
b220,blood,gl261,7,3,0.35
b220,blood,gl261,14,1,0.35
b220,blood,gl261,14,2,0.35
b220,blood,gl261,14,3,0.35
b220,blood,naive,7,1,0.35
b220,blood,naive,7,2,0.35
b220,blood,naive,7,3,0.35
b220,blood,naive,14,1,0.35
b220,blood,naive,14,2,0.35
b220,blood,naive,14,3,0.35
b220,marrow,gl261,7,1,0.28
b220,marrow,gl261,7,2,0.28
b220,marrow,gl261,7,3,0.28
b220,marrow,gl261,14,1,0.28
b220,marrow,gl261,14,2,0.28
b220,marrow,gl261,14,3,0.28
b220,marrow,naive,7,1,0.28
b220,marrow,naive,7,2,0.28
b220,marrow,naive,7,3,0.28
b220,marrow,naive,14,1,0.28
b220,marrow,naive,14,2,0.28
b220,marrow,naive,14,3,0.28
cd11b,blood,gl261,7,1,0.44
cd11b,blood,gl261,7,2,0.44
cd11b,blood,gl261,7,3,0.44
cd11b,blood,gl261,14,1,0.44
cd11b,blood,gl261,14,2,0.44
cd11b,blood,gl261,14,3,0.44
cd11b,blood,naive,7,1,0.44
cd11b,blood,naive,7,2,0.44
cd11b,blood,naive,7,3,0.44
cd11b,blood,naive,14,1,0.44
cd11b,blood,naive,14,2,0.44
cd11b,blood,naive,14,3,0.44
cd11b,marrow,gl261,7,1,0.40
cd11b,marrow,gl261,7,2,0.40
cd11b,marrow,gl261,7,3,0.40
cd11b,marrow,gl261,14,1,0.40
cd11b,marrow,gl261,14,2,0.40
cd11b,marrow,gl261,14,3,0.40
cd11b,marrow,naive,7,1,0.40
cd11b,marrow,naive,7,2,0.40
cd11b,marrow,naive,7,3,0.40
cd11b,marrow,naive,14,1,0.40
cd11b,marrow,naive,14,2,0.40
cd11b,marrow,naive,14,3,0.40
fsc,blood,gl261,7,1,0.0
fsc,blood,gl261,7,2,0.0
fsc,blood,gl261,7,3,0.0
fsc,blood,gl261,14,1,0.0
fsc,blood,gl261,14,2,0.0
fsc,blood,gl261,14,3,0.0
fsc,blood,naive,7,1,0.0
fsc,blood,naive,7,2,0.0
fsc,blood,naive,7,3,0.0
fsc,blood,naive,14,1,0.0
fsc,blood,naive,14,2,0.0
fsc,blood,naive,14,3,0.0
fsc,marrow,gl261,7,1,0.0
fsc,marrow,gl261,7,2,0.0
fsc,marrow,gl261,7,3,0.0
fsc,marrow,gl261,14,1,0.0
fsc,marrow,gl261,14,2,0.0
fsc,marrow,gl261,14,3,0.0
fsc,marrow,naive,7,1,0.0
fsc,marrow,naive,7,2,0.0
fsc,marrow,naive,7,3,0.0
fsc,marrow,naive,14,1,0.0
fsc,marrow,naive,14,2,0.0
fsc,marrow,naive,14,3,0.0
ssc,blood,gl261,7,1,0.0
ssc,blood,gl261,7,2,0.0
ssc,blood,gl261,7,3,0.0
ssc,blood,gl261,14,1,0.0
ssc,blood,gl261,14,2,0.0
ssc,blood,gl261,14,3,0.0
ssc,blood,naive,7,1,0.0
ssc,blood,naive,7,2,0.0
ssc,blood,naive,7,3,0.0
ssc,blood,naive,14,1,0.0
ssc,blood,naive,14,2,0.0
ssc,blood,naive,14,3,0.0
ssc,marrow,gl261,7,1,0.0
ssc,marrow,gl261,7,2,0.0
ssc,marrow,gl261,7,3,0.0
ssc,marrow,gl261,14,1,0.0
ssc,marrow,gl261,14,2,0.0
ssc,marrow,gl261,14,3,0.0
ssc,marrow,naive,7,1,0.0
ssc,marrow,naive,7,2,0.0
ssc,marrow,naive,7,3,0.0
ssc,marrow,naive,14,1,0.0
ssc,marrow,naive,14,2,0.0
ssc,marrow,naive,14,3,0.0
