channel,tissue,status,timepoint,replicate,bias
b220,blood,gl261,7,1,0.32
b220,blood,gl261,7,2,0.32
b220,blood,gl261,7,3,0.32
b220,blood,gl261,7,4,0.32
b220,blood,gl261,7,5,0.32
b220,blood,gl261,7,6,0.32
b220,blood,gl261,7,7,0.32
b220,blood,gl261,7,8,0.32
b220,blood,gl261,14,1,0.32
b220,blood,gl261,14,2,0.32
b220,blood,gl261,14,3,0.32
b220,blood,gl261,14,4,0.32
b220,blood,gl261,14,5,0.32
b220,blood,gl261,14,6,0.32
b220,blood,gl261,14,7,0.32
b220,blood,gl261,14,8,0.32
b220,blood,gl261,30,1,0.32
b220,blood,gl261,30,3,0.32
b220,blood,gl261,30,6,0.32
b220,blood,gl261,30,2,0.32
b220,blood,gl261,30,4,0.32
b220,blood,gl261,30,5,0.32
b220,blood,gl261,30,7,0.32
b220,blood,gl261,30,8,0.32
b220,blood,naive,7,1,0.32
b220,blood,naive,7,2,0.32
b220,blood,naive,7,3,0.32
b220,blood,naive,7,4,0.32
b220,blood,naive,7,5,0.32
b220,blood,naive,7,6,0.32
b220,blood,naive,7,7,0.32
b220,blood,naive,7,8,0.32
b220,blood,naive,14,1,0.32
b220,blood,naive,14,2,0.32
b220,blood,naive,14,3,0.32
b220,blood,naive,14,4,0.32
b220,blood,naive,14,5,0.32
b220,blood,naive,14,6,0.32
b220,blood,naive,14,7,0.32
b220,blood,naive,14,8,0.32
b220,blood,naive,30,1,0.32
b220,blood,naive,30,2,0.32
b220,blood,naive,30,3,0.32
b220,blood,naive,30,4,0.32
b220,blood,naive,30,5,0.32
b220,blood,naive,30,6,0.32
b220,blood,naive,30,7,0.32
b220,blood,naive,30,8,0.32
b220,marrow,gl261,7,1,0.25
b220,marrow,gl261,7,2,0.25
b220,marrow,gl261,7,3,0.25
b220,marrow,gl261,7,4,0.25
b220,marrow,gl261,7,5,0.25
b220,marrow,gl261,7,6,0.25
b220,marrow,gl261,7,7,0.25
b220,marrow,gl261,7,8,0.25
b220,marrow,gl261,14,1,0.25
b220,marrow,gl261,14,2,0.25
b220,marrow,gl261,14,3,0.25
b220,marrow,gl261,14,4,0.25
b220,marrow,gl261,14,5,0.25
b220,marrow,gl261,14,6,0.25
b220,marrow,gl261,14,7,0.25
b220,marrow,gl261,14,8,0.25
b220,marrow,gl261,30,1,0.25
b220,marrow,gl261,30,3,0.25
b220,marrow,gl261,30,6,0.25
b220,marrow,gl261,30,2,0.25
b220,marrow,gl261,30,4,0.25
b220,marrow,gl261,30,5,0.25
b220,marrow,gl261,30,7,0.25
b220,marrow,gl261,30,8,0.25
b220,marrow,naive,7,1,0.25
b220,marrow,naive,7,2,0.25
b220,marrow,naive,7,3,0.25
b220,marrow,naive,7,4,0.25
b220,marrow,naive,7,5,0.25
b220,marrow,naive,7,6,0.25
b220,marrow,naive,7,7,0.25
b220,marrow,naive,7,8,0.25
b220,marrow,naive,14,1,0.25
b220,marrow,naive,14,2,0.25
b220,marrow,naive,14,3,0.25
b220,marrow,naive,14,4,0.25
b220,marrow,naive,14,5,0.25
b220,marrow,naive,14,6,0.25
b220,marrow,naive,14,7,0.25
b220,marrow,naive,14,8,0.25
b220,marrow,naive,30,1,0.25
b220,marrow,naive,30,2,0.25
b220,marrow,naive,30,3,0.25
b220,marrow,naive,30,4,0.25
b220,marrow,naive,30,5,0.25
b220,marrow,naive,30,6,0.25
b220,marrow,naive,30,7,0.25
b220,marrow,naive,30,8,0.25
b220,nodes,gl261,7,1,0.32
b220,nodes,gl261,7,2,0.32
b220,nodes,gl261,7,3,0.32
b220,nodes,gl261,7,4,0.32
b220,nodes,gl261,7,5,0.32
b220,nodes,gl261,7,6,0.32
b220,nodes,gl261,7,7,0.32
b220,nodes,gl261,7,8,0.32
b220,nodes,gl261,14,1,0.32
b220,nodes,gl261,14,2,0.32
b220,nodes,gl261,14,3,0.32
b220,nodes,gl261,14,4,0.32
b220,nodes,gl261,14,5,0.32
b220,nodes,gl261,14,6,0.32
b220,nodes,gl261,14,7,0.32
b220,nodes,gl261,14,8,0.32
b220,nodes,gl261,30,1,0.32
b220,nodes,gl261,30,3,0.32
b220,nodes,gl261,30,6,0.32
b220,nodes,gl261,30,2,0.32
b220,nodes,gl261,30,4,0.32
b220,nodes,gl261,30,5,0.32
b220,nodes,gl261,30,7,0.32
b220,nodes,gl261,30,8,0.32
b220,nodes,naive,7,1,0.32
b220,nodes,naive,7,2,0.32
b220,nodes,naive,7,3,0.32
b220,nodes,naive,7,4,0.32
b220,nodes,naive,7,5,0.32
